Area Abbreviation,Area Code,Area,Item Code,Item,Element Code,Element,Unit,latitude,longitude,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013
AFG,2,Afghanistan,2943,Meat,5142,Food,1000 tonnes,33.94,67.71,319,277,304,298,329,348,287,282,328,329,369,389,367,377
ALB,3,Albania,2943,Meat,5142,Food,1000 tonnes,41.15,20.17,89,103,123,123,128,130,141,154,169,176,186,185,194,197
DZA,4,Algeria,2943,Meat,5142,Food,1000 tonnes,28.03,1.66,583,541,572,620,694,710,676,682,668,704,680,750,809,826
AGO,7,Angola,2943,Meat,5142,Food,1000 tonnes,-11.2,17.87,234,235,298,335,306,360,400,438,492,472,550,643,726,776
ATG,8,Antigua and Barbuda,2943,Meat,5142,Food,1000 tonnes,17.06,-61.8,5,5,5,5,6,7,7,7,7,7,7,7,7,8
ARG,9,Argentina,2943,Meat,5142,Food,1000 tonnes,-38.42,-63.62,3644,3511,2998,3169,3343,3471,3657,3734,3861,3988,4066,4290,4366,4445
ARM,1,Armenia,2943,Meat,5142,Food,1000 tonnes,40.07,45.04,65,67,71,76,81,88,91,111,144,120,121,126,133,136
AUS,10,Australia,2943,Meat,5142,Food,1000 tonnes,-25.27,133.78,2139,2143,2183,2352,2178,2407,2333,2594,2432,2474,2508,2754,2704,2713
AUT,11,Austria,2943,Meat,5521,Feed,1000 tonnes,47.52,14.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,11,Austria,2943,Meat,5142,Food,1000 tonnes,47.52,14.55,796,763,762,750,780,775,755,776,742,769,780,772,741,772
AZE,52,Azerbaijan,2943,Meat,5142,Food,1000 tonnes,40.14,47.58,133,128,133,145,153,164,173,187,195,246,271,285,288,293
AZE,12,Bahamas,2943,Meat,5142,Food,1000 tonnes,25.03,-77.4,32,33,36,33,32,34,35,35,37,39,39,38,42,39
BGD,16,Bangladesh,2943,Meat,5142,Food,1000 tonnes,23.68,90.36,450,460,480,498,511,528,548,567,577,594,609,627,637,644
BRB,14,Barbados,2943,Meat,5142,Food,1000 tonnes,13.19,-59.54,19,18,18,17,17,21,19,21,19,19,20,19,19,19
BLR,57,Belarus,2943,Meat,5142,Food,1000 tonnes,53.71,27.95,592,589,575,581,574,598,662,702,740,756,793,824,835,834
BEL,255,Belgium,2943,Meat,5142,Food,1000 tonnes,50.5,4.47,836,889,871,829,819,859,830,886,739,721,754,734,800,776
BLZ,23,Belize,2943,Meat,5142,Food,1000 tonnes,17.19,-88.5,10,12,13,13,14,13,13,13,13,13,15,15,17,17
BEN,53,Benin,2943,Meat,5142,Food,1000 tonnes,9.31,2.32,105,96,132,139,113,108,110,114,157,149,134,229,260,260
BMU,17,Bermuda,2943,Meat,5142,Food,1000 tonnes,32.32,-64.76,6,6,6,6,5,5,6,6,7,7,6,8,7,6
BOL,19,Bolivia (Plurinational State of),2943,Meat,5142,Food,1000 tonnes,-16.29,-63.59,404,418,433,441,460,503,597,679,706,640,702,704,702,708
BIH,80,Bosnia and Herzegovina,2943,Meat,5142,Food,1000 tonnes,43.92,17.68,66,76,87,74,73,80,75,81,96,105,114,129,136,123
BWA,20,Botswana,2943,Meat,5142,Food,1000 tonnes,-22.33,24.68,41,37,42,36,49,52,48,47,54,56,60,58,60,58
BRA,21,Brazil,2943,Meat,5142,Food,1000 tonnes,-14.24,-51.93,13782,13516,14116,14479,14943,13871,14656,15302,16527,16488,17465,18310,18580,19552
BRN,26,Brunei Darussalam,2943,Meat,5142,Food,1000 tonnes,4.54,114.73,20,22,24,26,25,23,26,27,28,29,31,34,35,36
BGR,27,Bulgaria,2943,Meat,5142,Food,1000 tonnes,42.73,25.49,457,443,423,352,392,390,365,357,386,415,391,415,412,388
BFA,233,Burkina Faso,2943,Meat,5142,Food,1000 tonnes,12.24,-1.56,164,169,176,214,221,231,240,239,241,247,254,260,265,199
CPV,35,Cabo Verde,2943,Meat,5142,Food,1000 tonnes,16,-24.01,11,12,12,13,14,16,16,17,17,17,17,18,17,18
KHM,115,Cambodia,2943,Meat,5142,Food,1000 tonnes,12.57,104.99,200,200,196,207,210,215,218,222,223,231,213,218,201,200
CMR,32,Cameroon,2943,Meat,5142,Food,1000 tonnes,7.37,12.35,231,235,242,250,295,276,283,291,307,304,294,300,285,297
CAN,33,Canada,2943,Meat,5521,Feed,1000 tonnes,56.13,-106.35,6,18,8,7,7,8,8,4,8,9,12,13,13,16
CAN,33,Canada,2943,Meat,5142,Food,1000 tonnes,56.13,-106.35,3109,3139,3152,3133,3182,3077,3115,3259,3215,3182,3141,3169,3221,3193
CAF,37,Central African Republic,2943,Meat,5142,Food,1000 tonnes,6.61,20.94,116,117,122,120,129,132,135,143,147,150,161,167,170,136
TCD,39,Chad,2943,Meat,5142,Food,1000 tonnes,15.45,18.73,114,119,120,123,126,128,131,135,138,142,147,151,153,154
CHL,40,Chile,2943,Meat,5521,Feed,1000 tonnes,-35.68,-71.54,5,5,6,5,5,4,5,4,4,4,4,4,4,4
CHL,40,Chile,2943,Meat,5142,Food,1000 tonnes,-35.68,-71.54,1004,1026,1024,1072,1118,1150,1244,1297,1306,1257,1325,1376,1428,1510
CHN,96,"China, Hong Kong SAR",2943,Meat,5142,Food,1000 tonnes,22.4,114.11,834,798,778,812,874,908,934,954,962,988,1073,1092,1126,1103
CHN,128,"China, Macao SAR",2943,Meat,5142,Food,1000 tonnes,22.2,113.54,34,35,37,39,43,47,45,50,58,57,57,58,67,68
CHN,41,"China, mainland",2943,Meat,5521,Feed,1000 tonnes,35.86,104.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CHN,41,"China, mainland",2943,Meat,5142,Food,1000 tonnes,35.86,104.2,56338,56361,57795,60751,61243,63859,66259,68630,72129,74855,77295,77792,82094,84591
CHN,214,"China, Taiwan Province of",2943,Meat,5142,Food,1000 tonnes,23.7,120.96,1812,1782,1794,1780,1809,1799,1894,1841,1886,1935,1800,1845,1791,1813
COL,44,Colombia,2943,Meat,5142,Food,1000 tonnes,4.57,-74.3,1401,1445,1481,1485,1572,1741,1849,1931,1999,2001,2127,2185,2305,2454
COD,46,Congo,2943,Meat,5142,Food,1000 tonnes,-0.23,15.83,46,41,49,72,70,56,71,82,84,94,106,159,104,131
CRI,48,Costa Rica,2943,Meat,5142,Food,1000 tonnes,9.75,-83.75,167,172,162,172,177,185,200,223,223,232,233,232,235,244
CIV,107,CÙte d'Ivoire,2943,Meat,5142,Food,1000 tonnes,7.54,-5.55,212,203,212,232,242,243,249,245,253,257,277,274,289,305
HRV,98,Croatia,2943,Meat,5142,Food,1000 tonnes,45.1,15.2,160,158,179,187,216,218,253,274,273,292,264,262,296,284
CUB,49,Cuba,2943,Meat,5142,Food,1000 tonnes,21.52,-77.78,329,330,351,343,384,343,422,465,563,607,569,560,561,608
CYP,50,Cyprus,2943,Meat,5142,Food,1000 tonnes,35.13,33.43,83,83,86,82,82,87,85,88,86,86,87,89,91,86
CZE,167,Czechia,2943,Meat,5142,Food,1000 tonnes,49.82,15.47,793,792,798,822,890,900,877,890,881,886,883,860,799,779
KOR,116,Democratic People's Republic of Korea,2943,Meat,5142,Food,1000 tonnes,40.34,127.51,257,307,367,335,339,345,334,324,314,324,326,342,346,348
DNK,54,Denmark,2943,Meat,5142,Food,1000 tonnes,56.26,9.5,373,389,449,416,390,501,431,492,431,367,422,420,427,460
DJI,72,Djibouti,2943,Meat,5142,Food,1000 tonnes,11.83,42.59,12,12,11,12,13,17,23,27,22,16,14,13,17,16
DMA,55,Dominica,2943,Meat,5142,Food,1000 tonnes,15.41,-61.37,5,5,5,4,5,5,4,4,5,4,4,4,4,4
DOM,56,Dominican Republic,2943,Meat,5142,Food,1000 tonnes,18.74,-70.16,347,343,326,293,365,458,521,537,513,543,578,512,449,491
ECU,58,Ecuador,2943,Meat,5142,Food,1000 tonnes,-1.83,-78.18,494,553,578,601,603,608,700,785,821,784,818,829,829,849
EGY,59,Egypt,2943,Meat,5142,Food,1000 tonnes,26.82,30.8,1513,1347,1412,1453,1534,1652,1914,2109,1920,2064,2273,2213,2350,2500
SLV,60,El Salvador,2943,Meat,5142,Food,1000 tonnes,13.79,-88.9,125,138,154,141,153,166,181,184,173,174,183,177,184,184
EST,63,Estonia,2943,Meat,5142,Food,1000 tonnes,58.6,25.01,81,83,87,82,79,83,87,93,89,89,95,91,79,75
ETH,238,Ethiopia,2943,Meat,5142,Food,1000 tonnes,9.15,40.49,460,496,570,563,575,594,640,655,681,663,739,714,657,665
FJI,66,Fiji,2943,Meat,5142,Food,1000 tonnes,-16.58,179.41,36,34,34,34,36,37,39,37,37,32,33,39,46,35
FIN,67,Finland,2943,Meat,5142,Food,1000 tonnes,61.92,25.75,339,346,355,362,373,377,375,397,394,390,402,401,423,421
FRA,68,France,2943,Meat,5142,Food,1000 tonnes,46.23,2.21,5927,6054,5889,5825,5561,5426,5155,5210,5694,5687,5720,5678,5720,5578
PYF,70,French Polynesia,2943,Meat,5142,Food,1000 tonnes,-17.68,-149.41,23,24,25,26,27,26,26,29,28,28,27,28,28,28
GAB,74,Gabon,2943,Meat,5142,Food,1000 tonnes,-0.8,11.61,62,63,62,63,75,86,92,92,90,95,99,106,109,118
GMB,75,Gambia,2943,Meat,5142,Food,1000 tonnes,13.44,-15.31,11,8,8,9,14,16,14,15,12,14,14,15,14,12
GEO,73,Georgia,2943,Meat,5521,Feed,1000 tonnes,42.32,43.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEO,73,Georgia,2943,Meat,5142,Food,1000 tonnes,42.32,43.36,127,123,132,136,134,140,120,126,121,110,118,120,118,121
DEU,79,Germany,2943,Meat,5142,Food,1000 tonnes,51.17,10.45,6910,6798,6756,6964,6930,6875,6902,7193,7145,7151,7268,7288,7155,7109
GHA,81,Ghana,2943,Meat,5142,Food,1000 tonnes,7.95,-1.02,199,194,210,250,250,257,270,313,329,320,364,420,427,452
GRC,84,Greece,2943,Meat,5521,Feed,1000 tonnes,39.07,21.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
