year,countries,region,category,score
2020,Albania,Eastern Europe,hf_score,7.67
2020,Algeria,Middle East & North Africa,hf_score,5.13
2020,Angola,Sub-Saharan Africa,hf_score,5.97
2020,Argentina,Latin America & the Caribbean,hf_score,6.99
2020,Armenia,Caucasus & Central Asia,hf_score,8.14
2020,Australia,Oceania,hf_score,8.51
2020,Austria,Western Europe,hf_score,8.26
2020,Azerbaijan,Caucasus & Central Asia,hf_score,5.7
2020,Bahamas,Latin America & the Caribbean,hf_score,8.14
2020,Bahrain,Middle East & North Africa,hf_score,5.49
2020,Bangladesh,South Asia,hf_score,5.51
2020,Barbados,Latin America & the Caribbean,hf_score,7.69
2020,Belarus,Eastern Europe,hf_score,5.78
2020,Belgium,Western Europe,hf_score,8.27
2020,Belize,Latin America & the Caribbean,hf_score,7.02
2020,Benin,Sub-Saharan Africa,hf_score,6.95
2020,Bhutan,South Asia,hf_score,6.71
2020,Bolivia,Latin America & the Caribbean,hf_score,6.6
2020,Bosnia and Herz.,Eastern Europe,hf_score,7.35
2020,Botswana,Sub-Saharan Africa,hf_score,7.44
2020,Brazil,Latin America & the Caribbean,hf_score,6.86
2020,Brunei Darussalam,South Asia,hf_score,5.62
2020,Bulgaria,Eastern Europe,hf_score,7.81
2020,Burkina Faso,Sub-Saharan Africa,hf_score,6.63
2020,Burundi,Sub-Saharan Africa,hf_score,4.82
2020,Cabo Verde,Sub-Saharan Africa,hf_score,8.12
2020,Cambodia,South Asia,hf_score,6.24
2020,Cameroon,Sub-Saharan Africa,hf_score,5.34
2020,Canada,North America,hf_score,8.47
2020,Central African Rep.,Sub-Saharan Africa,hf_score,5.47
2020,Chad,Sub-Saharan Africa,hf_score,5.2
2020,Chile,Latin America & the Caribbean,hf_score,8.06
2020,China,East Asia,hf_score,5.22
2020,Colombia,Latin America & the Caribbean,hf_score,6.65
2020,Comoros,Sub-Saharan Africa,hf_score,5.75
2020,Dem. Rep. Congo,Sub-Saharan Africa,hf_score,5.39
2020,Congo,Sub-Saharan Africa,hf_score,5.55
2020,Costa Rica,Latin America & the Caribbean,hf_score,7.98
2020,Côte d'Ivoire,Sub-Saharan Africa,hf_score,6.47
2020,Croatia,Eastern Europe,hf_score,7.86
2020,Cyprus,Eastern Europe,hf_score,8.13
2020,Czechia,Eastern Europe,hf_score,8.33
2020,Denmark,Western Europe,hf_score,8.72
2020,Djibouti,Sub-Saharan Africa,hf_score,5.51
2020,Dominican Republic,Latin America & the Caribbean,hf_score,7.61
2020,Ecuador,Latin America & the Caribbean,hf_score,7.12
2020,Egypt,Middle East & North Africa,hf_score,4.28
2020,El Salvador,Latin America & the Caribbean,hf_score,6.65
2020,Estonia,Eastern Europe,hf_score,8.73
2020,Eswatini,Sub-Saharan Africa,hf_score,5.45
2020,Ethiopia,Sub-Saharan Africa,hf_score,5.42
2020,Fiji,Oceania,hf_score,7.28
2020,Finland,Western Europe,hf_score,8.62
2020,France,Western Europe,hf_score,7.8
2020,Gabon,Sub-Saharan Africa,hf_score,6.62
2020,"Gambia, The",Sub-Saharan Africa,hf_score,6.61
2020,Georgia,Caucasus & Central Asia,hf_score,7.71
2020,Germany,Western Europe,hf_score,8.33
2020,Ghana,Sub-Saharan Africa,hf_score,7.26
2020,Greece,Eastern Europe,hf_score,7.5
2020,Guatemala,Latin America & the Caribbean,hf_score,7.08
2020,Guinea,Sub-Saharan Africa,hf_score,5.45
2020,Guinea-Bissau,Sub-Saharan Africa,hf_score,6.54
2020,Guyana,Latin America & the Caribbean,hf_score,6.9
2020,Haiti,Latin America & the Caribbean,hf_score,6.78
2020,Honduras,Latin America & the Caribbean,hf_score,6.67
2020,"Hong Kong SAR, China",East Asia,hf_score,8.01
2020,Hungary,Eastern Europe,hf_score,7.21
2020,Iceland,Western Europe,hf_score,8.64
2020,India,South Asia,hf_score,6.3
2020,Indonesia,South Asia,hf_score,6.74
2020,Iran,Middle East & North Africa,hf_score,4.26
2020,Iraq,Middle East & North Africa,hf_score,4.77
2020,Ireland,Western Europe,hf_score,8.7
2020,Israel,Middle East & North Africa,hf_score,7.36
2020,Italy,Western Europe,hf_score,8.02
2020,Jamaica,Latin America & the Caribbean,hf_score,7.53
2020,Japan,East Asia,hf_score,8.39
2020,Jordan,Middle East & North Africa,hf_score,6.39
2020,Kazakhstan,Caucasus & Central Asia,hf_score,6.46
2020,Kenya,Sub-Saharan Africa,hf_score,6.58
2020,South Korea,East Asia,hf_score,8.11
2020,Kuwait,Middle East & North Africa,hf_score,6.25
2020,Kyrgyzstan,Caucasus & Central Asia,hf_score,6.7
2020,Lao PDR,South Asia,hf_score,5.44
2020,Latvia,Eastern Europe,hf_score,8.42
2020,Lebanon,Middle East & North Africa,hf_score,5.98
