year,countries,region,hf_score,hf_rank,hf_quartile,pf_rol_procedural,pf_rol_civil,pf_rol_criminal,pf_rol_vdem,pf_rol,pf_ss_homicide,pf_ss_homicide_data,pf_ss_disappearances_disap,pf_ss_disappearances_violent,pf_ss_disappearances_violent_data,pf_ss_disappearances_organized,pf_ss_disappearances_fatalities,pf_ss_disappearances_fatalities_data,pf_ss_disappearances_injuries,pf_ss_disappearances_injuries_data,pf_ss_disappearances_torture,pf_ss_killings,pf_ss_disappearances,pf_ss,pf_movement_vdem_foreign,pf_movement_vdem_men,pf_movement_vdem_women,pf_movement_vdem,pf_movement_cld,pf_movement,pf_religion_freedom_vdem,pf_religion_freedom_cld,pf_religion_freedom,pf_religion_suppression,pf_religion,pf_assembly_entry,pf_assembly_freedom_house,pf_assembly_freedom_bti,pf_assembly_freedom_cld,pf_assembly_freedom,pf_assembly_parties_barriers,pf_assembly_parties_bans,pf_assembly_parties_auton,pf_assembly_parties,pf_assembly_civil,pf_assembly,pf_expression_direct_killed,pf_expression_direct_killed_data,pf_expression_direct_jailed,pf_expression_direct_jailed_data,pf_expression_direct,pf_expression_vdem_cultural,pf_expression_vdem_harass,pf_expression_vdem_gov,pf_expression_vdem_internet,pf_expression_vdem_selfcens,pf_expression_vdem,pf_expression_house,pf_expression_bti,pf_expression_cld,pf_expression,pf_identity_same_m,pf_identity_same_f,pf_identity_same,pf_identity_divorce,pf_identity_inheritance_widows,pf_identity_inheritance_daughters,pf_identity_inheritance,pf_identity_fgm,pf_identity,pf_score,pf_rank,ef_government_consumption,ef_government_consumption_data,ef_government_transfers,ef_government_transfers_data,ef_government_investment,ef_government_investment_data,ef_government_tax_income,ef_government_tax_income_data,ef_government_tax_payroll,ef_government_tax_payroll_data,ef_government_tax,ef_government_soa,ef_government,ef_legal_judicial,ef_legal_courts,ef_legal_protection,ef_legal_military,ef_legal_integrity,ef_legal_enforcement,ef_legal_regulatory,ef_legal_police,ef_gender,ef_legal,ef_money_growth,ef_money_growth_data,ef_money_sd,ef_money_sd_data,ef_money_inflation,ef_money_inflation_data,ef_money_currency,ef_money,ef_trade_tariffs_revenue,ef_trade_tariffs_revenue_data,ef_trade_tariffs_mean,ef_trade_tariffs_mean_data,ef_trade_tariffs_sd,ef_trade_tariffs_sd_data,ef_trade_tariffs,ef_trade_regulatory_nontariff,ef_trade_regulatory_compliance,ef_trade_regulatory,ef_trade_black,ef_trade_movement_open,ef_trade_movement_capital,ef_trade_movement_visit,ef_trade_movement,ef_trade,ef_regulation_credit_ownership,ef_regulation_credit_private,ef_regulation_credit_interest,ef_regulation_credit,ef_regulation_labor_minwage,ef_regulation_labor_firing,ef_regulation_labor_bargain,ef_regulation_labor_hours,ef_regulation_labor_dismissal,ef_regulation_labor_conscription,ef_regulation_labor,ef_regulation_business_adm,ef_regulation_business_burden,ef_regulation_business_start,ef_regulation_business_impartial,ef_regulation_business_licensing,ef_regulation_business_compliance,ef_regulation_business,ef_regulation,ef_score,ef_rank
2020,Albania,Eastern Europe,7.67,47,2,5.903740701,4.725831021,4.047825402,7.194197864,4.771937559,9.343023256,2.26,10,10,0,7.5,10,0,10,0,6.8475,9.7475,9.156428571,9.249725914,9.5725,9.8625,9.8775,9.770833333,3.333333333,6.552083333,9.34,10,9.67,9.845,9.7575,8.35,7.5,10,10,9.166666667,9.54,9.46,7.72,8.906666667,8.2225,8.661458333,10,0,10,0,10,6.69,4.6075,3.2775,7.383333333,5.713333333,5.534333333,5,6.666666667,3.333333333,6.106866667,10,10,10,7.5,,,7.5,10,8.75,7.69,58,8.026470588,12.71,6.978201635,11.59,7.545714286,23.59,9,23,7,34,8,8.535,7.817077302,4.194511353,4.073332116,3.841150205,8.333333333,5.40375,3.913506287,6.715384476,5.60784181,1,5.260351197,9.783393623,1.083031884,9.693880536,0.765298661,9.6758,1.621,10,9.78826854,9.573333333,0.64,9.28,3.6,8.0848,4.788,8.979377778,6.807306608,9.405327776,8.106317192,10,4.168718457,4.615384615,8.628800023,5.804301032,8.222499,10,3.768481561,10,7.922827187,5.566666667,4.8653845,5.575783253,8,6.299740913,10,6.717929222,5.651538372,6,9.742477377,5.9975,5.621939551,7.17524973,6.698117505,7.112957971,7.64,26
2020,Algeria,Middle East & North Africa,5.13,154,4,4.913311422,5.503871747,4.254187111,5.461189395,4.996745644,9.61627907,1.32,10,9.687083358,25,5,10,0,10,0,4.9625,6.7975,8.063869051,8.84007406,7.0325,9.635,8.8625,8.51,3.333333333,5.921666667,4.0925,6.666666667,5.379583333,5.455,5.417291667,2.5725,2.5,4.444444444,3.333333333,3.425925926,6.1425,7.7175,5.8525,6.570833333,2.9125,3.870439815,10,0,5.41957945,8,7.709789725,4.9925,4.8275,2.1775,2.466666667,5.483333333,3.9895,2.5,4.444444444,3.333333333,4.395413501,0,0,0,0,,,0,10,2.5,5.13,138,3.102941176,29.45,7.817129014,8.511136517,3.997142857,36.01,7,35,2,53,4.5,2.6325,4.40994261,4.091588946,4.040832073,5.129855473,3.333333333,4.79125,4.392091659,6.626692153,6.347413858,0.705882353,4.131759807,8.007512477,9.962437617,7.996636856,5.008407861,9.517,2.415,5,7.630287333,8.48,2.28,6.22,18.9,5.9176,10.206,6.872533333,4.557607572,0.479289941,2.518448756,4.362818591,1.64345175,0.769230769,0,0.804227507,3.639507047,0,8.014124481,10,6.00470816,5.566666667,5.028064252,6.522477468,6,7.755176154,3,5.645397423,4.21515425,2.222222222,9.305001963,2.5775,8.771110914,7.029528486,5.686752973,5.778952852,5.12,157
2020,Angola,Sub-Saharan Africa,5.97,122,3,2.773261923,4.352009114,3.478949839,5.306695252,3.563207099,8.590305406,4.849349402,10,9.58249835,25,7.5,9.736578146,5,9.971732695,1,4.2975,7.4125,8.357258456,8.473781931,7.64,9.395,8.785,8.606666667,3.333333333,5.97,6.5975,6.666666667,6.632083333,6.86,6.746041667,3.89,5,4.444444444,6.666666667,5.37037037,7.805,8.5325,7.55,7.9625,4.9825,5.551342593,10,0,10,0,10,4.9625,4.795,6.98,9.256666667,7,6.598833333,2.5,5.555555556,3.333333333,5.597544444,0,10,5,5,,,5,10,6.25,6.02,114,7.7,13.82,9.702997275,1.59,9.271428571,17.55,10,17,9,25,9.5,4.4925,8.133385169,4.062985718,3.391359637,3.744219145,4.166666667,4.498583333,2.302200397,5.521624536,3.806230625,0.882352941,3.705161183,7.034568661,14.8271567,6.777416118,8.056459706,5.54,22.3,5,6.087996195,9.393333333,0.91,7.96,10.2,4.0024,14.994,7.118577778,4.695111115,2.514792899,3.604952007,10,0,2.307692308,0,0.769230769,5.373190139,5,8.942524952,9,7.647508317,10,4.426570337,6.969782512,4,6.632764231,0,5.33818618,2.937894265,3.111111111,8.730805282,4.7025,7.916415529,6.782923304,5.696941582,6.22754536,5.91,138
2020,Argentina,Latin America & the Caribbean,6.99,74,2,6.824287951,5.679943308,4.218635276,6.748978474,5.72559577,8.505813953,5.14,5,10,0,7.5,9.925378553,2,10,0,7.75,9.3525,8.50398265,8.504898302,8.93,9.5475,8.6675,9.048333333,6.666666667,7.8575,9.77,10,9.885,9.8625,9.87375,9.1975,10,10,6.666666667,8.888888889,9.8975,9.9,9.24,9.679166667,8.99,9.188888889,10,0,10,0,10,9.035,7.5075,9.1825,9.88,8.863333333,8.893666667,7.5,8.888888889,6.666666667,8.389844444,10,10,10,10,,,10,10,10,8.51,29,5.985294118,19.65,6.493188011,13.37,8.702857143,19.54,7,35,1,57,4,7.2375,6.483767854,4.727449392,4.031460269,4.584856828,7.5,4.840916667,3.816435911,6.857195103,4.411543608,0.882352941,4.796453856,5.083324245,24.58337878,6.380746488,9.048133781,1.6,42,5,4.516017683,4.926666667,7.61,7.32,13.4,5.8728,10.318,6.039822222,5.07068793,5.649711293,5.360199611,0,2.842815816,0,0,0.947605272,3.086906776,5,5.380504265,5,5.126834755,2.766666667,2.240387202,3.192984263,10,2.517253846,10,5.119548663,2.714232603,5.555555556,9.579287555,7.2675,5.726520614,6.508294805,6.225231855,5.490538425,4.87,161
2020,Armenia,Caucasus & Central Asia,8.14,26,1,,,,7.204175228,7.204175228,9.49127907,1.75,10,10,0,7.5,10,0,10,0,8.025,9.5775,9.300357143,9.395818106,9.5,9.88,9.73,9.703333333,6.666666667,8.185,8.0475,6.666666667,7.357083333,9.4225,8.389791667,9.35,7.5,8.888888889,6.666666667,7.685185185,9.535,9.89,8.175,9.2,9.4475,8.920671296,10,0,10,0,10,7.9725,5.9925,6.2075,9.876666667,6.696666667,7.349166667,5,8.888888889,6.666666667,7.580944444,10,10,10,7.5,,,7.5,10,8.75,8.35,37,6.605882353,17.54,7.223433243,10.69,8.977142857,18.58,9,23,7,33,8,9.07,7.975291691,4.689022488,5.537901618,6.374557813,5.833333333,5.772416667,5.196692523,9.815934976,6.669861475,1,6.236215112,8.776812066,6.11593967,9.677423037,0.806442408,9.7578,1.211,10,9.553008776,8.94,1.59,8.76,6.2,7.5944,6.014,8.431466667,5.689746538,9.315389046,7.502567792,10,8.356548548,6.153846154,0,4.836798234,7.692708173,10,9.049477988,10,9.683159329,6.666666667,5.599639415,7.248644033,10,9.251725385,0,6.461112583,5.170405705,5.111111111,9.8635303,6.26,9.302574229,7.040737812,7.124726526,7.756332813,7.84,11
2020,Australia,Oceania,8.51,11,1,8.221332059,7.416194408,7.24256177,7.977688942,7.409631889,9.747093023,0.87,10,10,0,10,10,0,10,0,8.6175,9.7775,9.770714286,9.758903654,9.455,9.5275,9.455,9.479166667,3.333333333,6.40625,9.7075,10,9.85375,9.865,9.859375,8.9425,10,,10,10,9.6325,9.81,9.6775,9.706666667,8.965,9.403541667,10,0,10,0,10,8.89,7.695,9.3675,9.61,8.75,8.8625,7.5,,10,9.090625,10,10,10,10,,,10,10,10,8.85,17,3.45,28.27,5.768392371,16.03,9.245714286,17.64,5,45,4,47,4.5,7.4925,6.091321331,8.435099826,7.571914948,8.445723057,10,8.922833333,6.762665594,8.13991275,8.41588974,1,8.336754906,9.054363551,4.728182246,9.345676533,1.635808667,9.8306,0.847,10,9.557660021,8.506666667,2.24,9.52,2.4,9.0496,2.376,9.025422222,7.119224072,8.43343856,7.776331316,10,10,4.615384615,0,4.871794872,7.918387102,10,6.385921487,10,8.795307162,8.9,3.907814027,6.084423065,10,7.927854911,10,7.803348667,3.981757562,8,9.92861381,9.635,8.953087141,8.823020721,8.220246539,8.272967456,8.04,6
2020,Austria,Western Europe,8.26,22,1,9.162084444,7.502754823,8.037188356,7.725390026,8.216956363,9.790697674,0.72,10,10,0,10,10,0,10,0,9.4825,9.695,9.8825,9.836598837,8.4575,9.115,9.43,9.000833333,3.333333333,6.167083333,8.0325,10,9.01625,8.6875,8.851875,8.195,10,,10,10,9.865,8.705,9.7575,9.4425,9.435,9.268125,10,0,10,0,10,9.2725,7.7525,9.255,9.886666667,6.546666667,8.542666667,7.5,,10,9.010666667,10,10,10,10,,,10,10,10,8.76,20,3.023529412,29.72,1.722070845,30.88,10,13.21,4,55,3,59,3.5,6.4,4.929120051,7.816753442,7.785561844,8.618839582,10,9.20575,6.985496289,8.10049394,8.597590128,1,8.388810653,7.195031178,14.02484411,9.80538363,0.486540925,9.7236,1.382,10,9.181003702,8.6,2.1,8.98,5.1,6.5116,8.721,8.030533333,6.65759643,9.981656882,8.319626656,10,10,3.076923077,5.004871408,6.027264828,8.094356204,8,6.823465566,10,8.274488522,8.9,4.784962733,2.489248117,6,10,3,5.862368475,4.46609656,6,9.24057911,9.275,7.296297347,8.531578233,7.468258542,7.20170518,7.56,33
2020,Azerbaijan,Caucasus & Central Asia,5.7,131,4,,,,4.482103758,4.482103758,9.340116279,2.27,10,0,7633,7.5,10,0,10,0,1.7575,7.845,6.728928571,8.034522425,5.1875,8.915,8.61,7.570833333,3.333333333,5.452083333,5.165,3.333333333,4.249166667,4.015,4.132083333,2.3525,0,2.222222222,3.333333333,1.851851852,5.315,9.32,5.27,6.635,2.6725,3.377962963,10,0,0,35,5,2.075,3.1225,0.5175,7.296666667,3.843333333,3.371,0,1.111111111,3.333333333,2.563088889,10,10,10,7.5,,,10,10,9.375,5.35,128,5.638235294,20.83,7.711171662,8.9,0,57.6,9,25,4,44,6.5,2.9025,4.550381391,4.020276995,3.582908449,6.806106567,5,4.129166667,7.252962408,7.61397477,7.603725592,0.823529412,5.243686636,8.757980108,6.210099462,5.8689074,10.3277315,9.448,2.76,5,7.268721877,8.726666667,1.91,8.26,8.7,5.65,10.875,7.545555556,6.634538173,8.19983032,7.417184247,10,4.641861916,4.615384615,0,3.085748844,7.012122161,5,7.317527562,9,7.105842521,8.333333333,7.246582508,8.176879883,6,8.503450769,1,6.543374416,7.210695743,6.222222222,9.875336779,2.8175,9.024509983,8.217717092,7.22799697,6.959071302,6.21,119
2020,"Bahamas, The",Latin America & the Caribbean,8.14,26,1,6.718555882,5.651945262,5.952831901,,6.107777682,4.604651163,18.56,10,10,0,,10,0,10,0,,,10,7.302325581,,,,,10,10,,10,10,,10,,10,,10,10,,,,,,10,10,0,10,0,10,,,,,,,7.5,,10,9.166666667,10,10,10,10,,,10,10,10,8.94,14,5.961764706,19.73,8.623978202,5.55,10,6.12,10,0,10,9,10,,8.646435727,7.145858568,5.1240132,,10,6.666666667,4.601283035,3.815500426,,1,6.225553649,9.630855148,1.845724258,7.594888236,6.012779411,9.9922,0.039,0,6.804485846,4.533333333,8.2,3.5,32.5,1.55,21.125,3.194444444,6.712476412,8.105924622,7.409200517,10,0,0.769230769,0,0.256410256,5.215013804,10,5.353653954,10,8.451217985,8.9,,,8,6.546424852,10,8.361606213,,5.777777778,9.51626076,,7.982034036,8.262554397,7.884656743,8.232493647,7.02,71
2020,Bahrain,Middle East & North Africa,5.49,141,4,,,,4.087414411,4.087414411,9.965116279,0.12,10,10,0,5,10,0,10,0,2.2125,4.8,7.430357143,8.697736711,4.2725,7.1525,7.1775,6.200833333,3.333333333,4.767083333,3.38,3.333333333,3.356666667,1.8525,2.604583333,1.2025,0,0,0,0,3.51,5.2625,2.8125,3.861666667,1.835,1.724791667,10,0,0,30,5,0.5,2.1425,0.255,7.116666667,0.35,2.072833333,0,1.111111111,0,1.636788889,10,10,10,0,,,0,10,5,4.07,159,3.422222563,28.36444328,9.433242507,2.58,10,14.39,10,0,10,17,10,2.55,7.081093014,5.373840198,5.09998859,7.84348011,5,4.9975,4.785814418,9.403392422,8.950928052,0.529411765,4.918487274,9.946281614,0.26859193,8.236054452,4.409863869,9.5364,-2.318,10,9.429684017,9.706666667,0.44,9.04,4.8,6.3712,9.072,8.372622222,6.81173404,6.6739774,6.74285572,10,10,6.153846154,7.633169251,7.929005135,8.261120769,10,2.827501348,10,7.609167116,8.333333333,5.976569653,8.05512031,8,7.029925373,10,7.899158112,6.061911583,7.555555556,9.707847368,2.41,9.755026554,9.747790154,7.539688536,7.682671254,7.47,39
